estu_genero,estu_depto_reside,fami_estratovivienda,punt_lectura_critica,punt_matematicas,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,punt_global
F,VALLE,Estrato 1,63,58,63,64,55,307
M,VALLE,-,46,55,48,48,34,240
F,VALLE,Estrato 1,58,54,60,59,53,287
M,VALLE,Estrato 3,63,66,62,71,54,323
F,VALLE,Estrato 5,73,66,63,71,79,345
F,VALLE,Estrato 3,63,50,57,49,66,278
F,BOGOTA,Estrato 5,70,72,67,66,70,344
F,VALLE,Estrato 4,63,62,56,70,67,315
M,ATLANTICO,Estrato 6,60,58,56,48,72,284
M,VALLE,Estrato 2,62,67,59,63,63,314
M,BOGOTA,Estrato 6,79,84,77,68,94,392
M,ANTIOQUIA,Estrato 6,46,61,38,46,72,248
M,CAUCA,Estrato 2,59,53,56,50,44,268
M,BOGOTA,Estrato 3,43,41,44,43,37,212
M,BOGOTA,Estrato 4,63,58,63,67,75,318
M,VALLE,Estrato 3,65,68,67,54,70,320
M,VALLE,Estrato 5,59,52,55,46,67,270
F,VALLE,Estrato 2,59,60,64,58,78,308
F,VALLE,-,67,70,71,64,74,342
F,BOGOTA,Estrato 5,66,66,59,66,80,327
M,VALLE,Estrato 3,45,51,53,48,64,252
M,VALLE,Estrato 5,75,75,76,83,100,395
M,BOGOTA,Estrato 4,66,68,66,71,80,343
F,BOGOTA,Estrato 4,77,74,79,75,89,386
F,ATLANTICO,Estrato 5,66,61,62,51,88,311
F,BOGOTA,Estrato 4,73,80,80,76,90,391
M,VALLE,Estrato 5,73,65,69,60,75,337
F,VALLE,-,58,41,54,59,42,261
M,VALLE,Estrato 4,58,62,67,64,68,316
M,VALLE,Estrato 1,62,63,61,58,55,303
F,VALLE,-,77,73,64,65,100,360
F,VALLE,Estrato 4,59,52,67,61,66,301
F,BOGOTA,Estrato 5,57,54,54,47,64,269
M,CAUCA,Estrato 2,51,55,44,51,36,246
M,VALLE,Estrato 3,35,34,46,39,30,189
F,BOGOTA,Estrato 3,60,54,64,57,76,300
M,BOGOTA,Estrato 4,75,72,63,74,78,358
M,CAUCA,Estrato 2,71,67,66,62,69,333
F,BOGOTA,Estrato 6,58,47,57,54,76,278
F,VALLE,Estrato 3,64,58,61,58,76,307
F,CUNDINAMARCA,Estrato 3,59,60,61,63,68,307
M,VALLE,Estrato 2,43,49,54,36,39,225
F,VALLE,Estrato 3,60,50,57,62,57,286
